,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
315,East Khasi Hills,25.405680850000003,91.83546771298455,994,2248,19,1235
316,North Garo Hills,25.8619841,90.70177048839348,12,31,0,19
318,South Garo Hills,25.347969,90.56577725964563,20,37,0,17
319,South West Garo Hills,25.448052699999998,89.9987852968616,9,23,0,14
320,South West Khasi Hills,25.330722100000003,91.32645013786319,5,6,0,1
321,West Garo Hills,25.60780175,90.20380106122235,211,564,1,352
322,West Jaintia Hills,25.4425965,92.29882747091773,13,40,0,27
323,West Khasi Hills,25.58173695,91.28910306371017,14,65,1,50
324,Bishnupur,24.562463649999998,93.8012483746545,228,288,2,58
325,Chandel,24.3197442,94.02109882254321,105,113,4,4
326,Churachandpur,24.378704,93.69700149533944,391,451,2,58
327,Imphal East,24.85154025,94.00947957721581,750,777,11,16
328,Imphal West,24.757326,93.85847858025147,1865,1925,8,52
329,Jiribam,24.6778472,93.1549000879473,145,147,0,2
330,Kakching,24.38904015,93.88013239529906,196,223,0,27
331,Kamjong,24.8409769,94.52830740954334,142,159,0,17
332,Kangpokpi,25.1524326,93.9714932,324,345,2,19
333,Noney,24.8625867,93.6237454,53,71,0,18
334,Pherzawl,24.2595653,93.1906004,18,33,0,15
335,Senapati,25.380439600000003,94.0569854178655,251,272,0,21
336,Tamenglong,24.935401300000002,93.56791112289724,234,266,0,32
337,Tengnoupal,24.31392145,94.23756082375633,69,82,0,13
338,Thoubal,24.624587,94.04247928402684,765,801,13,23
339,Ukhrul,25.109266849999997,94.38239281654197,290,308,0,18
340,Agar Malwa,23.9342963,76.14523314122312,66,292,6,220
341,Alirajpur,22.285939550000002,74.35468608752092,223,835,9,603
342,Anuppur,23.03525965,81.3884438474638,56,530,5,469
343,Ashoknagar,24.576189,77.7302895,92,312,12,208
344,Balaghat,21.966667,80.333333,222,536,1,313
345,Barwani,21.75194325,74.89175175338488,191,1398,16,1191
346,Betul,21.8796162,77.87568124563079,333,1071,22,716
347,Bhind,26.5,78.75,63,699,5,631
348,Bhopal,23.2584857,77.401989,1800,12945,321,10824
349,Burhanpur,26.2697215,82.99442536730413,40,611,25,546
350,Chhatarpur,24.75,79.75,114,806,19,673
351,Chhindwara,22.139831049999998,78.80964495467987,201,679,14,464
352,Damoh,23.75,79.583333,338,1008,20,650
353,Datia,25.75,78.5,147,935,10,778
354,Dewas,23.0,76.166667,131,924,17,776
355,Dhar,22.5,75.25,393,1335,19,923
356,Dindori,20.25527235,73.80730056332233,83,252,0,169
357,Guna,24.5,77.5,102,443,10,331
358,Gwalior,26.2037247,78.1573628,2037,7484,81,5366
359,Harda,22.3388828,77.0929933,109,597,14,474
360,Hoshangabad,22.6001502,77.92664521413192,297,860,23,540
361,Indore,22.7203616,75.8681996,4776,16431,451,11204
362,Jabalpur,23.1608938,79.9497702,1266,6018,108,4644
363,Jhabua,22.88585225,74.72513368804519,233,946,9,704
364,Katni,23.8339621,80.392456,94,600,11,495
365,Khandwa,21.9778642,76.5688282326971,217,1164,26,921
366,Khargone,21.8187743,75.6064577,559,2281,33,1689
367,Mandla,22.68536625,80.58150561711888,109,364,5,250
368,Mandsaur,24.2651306,75.38718193725012,203,1118,14,901
369,Morena,26.166667,77.5,135,2246,17,2094
370,Narsinghpur,22.9467047,79.1980228,508,1047,6,533
371,Neemuch,24.63044655,75.18339614635457,321,1484,23,1140
372,Niwari,25.312470400000002,78.66785016924982,56,251,1,194
373,Panna,24.5,80.25,61,350,1,288
374,Raisen,23.25,78.083333,231,953,19,703
375,Rajgarh,23.87167135,76.7748902040889,161,1011,15,835
376,Ratlam,23.501957750000003,74.95284518680097,300,1464,29,1135
377,Rewa,24.75926685,81.65500021078341,340,1082,17,725
378,Sagar,23.80961225,78.75911360578634,328,1493,69,1096
379,Satna,24.5,81.0,192,832,22,618
380,Sehore,23.1156882,77.06623939176504,375,1035,23,637
381,Seoni,22.275878900000002,79.721044651047,117,395,6,272
382,Shahdol,23.3002343,81.364771,228,848,9,611
383,Shajapur,23.37074105,76.62051527475785,179,652,8,465
384,Sheopur,25.6656611,76.6954843,162,659,4,493
385,Shivpuri,25.37524125,77.82811932629714,483,1560,15,1062
386,Sidhi,24.25,82.0,202,505,2,301
387,Singrauli,24.1974432,82.6661453,106,457,8,343
388,Tikamgarh,24.85450275,79.04698123882801,112,550,15,423
389,Ujjain,23.174597,75.7851423,407,2183,83,1693
390,Umaria,23.64319305,80.94239522009255,72,213,3,138
391,Vidisha,23.916667,78.0,269,1222,27,926
392,Aizawl,23.7414092,92.7209297,436,933,0,497
393,Champhai,23.69082385,93.34839119913778,2,17,0,15
394,Hnahthial,22.9663656,93.01026448504744,2,2,0,0
395,Khawzawl,23.53892045,93.1586839061471,0,3,0,3
396,Kolasib,24.18947525,92.7133181281124,103,206,0,103
397,Lawngtlai,22.34596495,92.8119536068969,4,33,0,29
398,Lunglei,22.898553,92.75192291719874,10,128,0,118
399,Mamit,23.75590845,92.45173568830637,12,33,0,21
400,Saiha,22.4995518,92.97798988717027,4,31,0,27
401,Saitual,23.6929995,92.965428,5,9,0,4
402,Serchhip,23.385892300000002,92.930598908176,6,19,0,13
404,Dimapur,25.9135914,93.7283707,723,2505,8,1763
405,Kiphire,25.81551155,94.84166400470303,11,16,0,5
406,Kohima,25.75,94.166667,386,1534,0,1144
407,Longleng,26.49031725,94.77214247303138,0,7,0,6
408,Mokokchung,26.4795861,94.51052754768273,17,39,0,22
409,Mon,26.8038,94.9767,24,325,0,298
410,Peren,25.47907705,93.72563659313207,3,350,0,347
411,Phek,25.75,94.5,1,34,0,33
412,Tuensang,26.168505500000002,94.85819821659115,3,73,0,70
413,Wokha,26.166667,94.25,1,35,0,34
